,name,size
0,Ceres (A801 AA),939.4
1,Pallas (A802 FA),513.0
2,Juno (A804 RA),246.596
3,Vesta (A807 FA),525.4
4,Astraea (A845 XA),106.699
5,Hebe (A847 NA),185.18
6,Iris (A847 PA),199.83
7,Flora (A847 UA),147.491
8,Metis (A848 HA),190.0
9,Hygiea (A849 GA),407.12
10,Parthenope (A850 JA),142.887
11,Victoria (A850 RA),115.087
12,Egeria (A850 VA),202.636
13,Irene (A851 KA),152.0
14,Eunomia (A851 OA),231.689
15,Psyche (A852 FA),226.0
16,Thetis (A852 HA),84.899
17,Melpomene (A852 MA),139.594
18,Fortuna (A852 QA),200.0
19,Massalia (A852 SA),135.68
20,Lutetia (A852 VA),95.76
21,Kalliope (A852 WA),167.536
22,Thalia (A852 XA),107.53
23,Themis (A853 GA),198.0
24,Phocaea (A853 GB),61.054
25,Proserpina (A853 JA),94.8
26,Euterpe (A853 VA),96.0
27,Bellona (A854 EA),120.9
28,Amphitrite (A854 EB),189.559
29,Urania (A854 OA),92.787
30,Euphrosyne (A854 RA),267.08
31,Pomona (A854 UA),80.76
32,Polyhymnia (A854 UB),52.929
33,Circe (A855 GA),132.992
34,Leukothea (A855 HA),103.055
35,Atalante (A855 TA),132.842
36,Fides (A855 TB),108.35
37,Leda (A856 AA),92.255
38,Laetitia (A856 CA),179.484
39,Harmonia (A856 FA),111.251
40,Daphne (A856 KA),205.495
41,Isis (A856 KB),110.997
42,Ariadne (A857 GA),71.34
43,Nysa (A857 KA),70.64
44,Eugenia (A857 MA),202.327
45,Hestia (A857 QA),131.471
46,Aglaja (A857 RA),168.174
47,Doris (A857 SA),216.473
48,Pales (A857 SB),166.252
49,Virginia (A857 TA),84.074
50,Nemausa (A858 BA),138.159
51,Europa (A858 CA),303.918
52,Kalypso (A858 GA),97.262
53,Alexandra (A858 RA),160.12
54,Pandora (A858 RB),84.794
55,Melete (A857 RB),121.333
56,Mnemosyne (A859 SA),112.59
57,Concordia (A860 FA),106.517
58,Elpis (A860 RA),165.119
59,Echo (A860 RB),43.218
60,Danae (A860 RC),85.937
61,Erato (A860 RD),106.921
62,Ausonia (A861 CA),116.044
63,Angelina (A861 EA),58.292
64,Cybele (A861 EB),237.26
65,Maja (A861 GA),71.82
66,Asia (A861 HA),56.309
67,Leto (A861 HB),122.509
68,Hesperia (A861 HC),138.13
69,Panopaea (A861 JA),127.911
70,Niobe (A861 PA),83.42
71,Feronia (A861 KA),74.966
72,Klytia (A862 GA),44.59
73,Galatea (A862 QA),118.71
74,Eurydike (A862 SA),62.377
75,Freia (A862 UA),145.423
76,Frigga (A862 VA),61.39
77,Diana (A863 EA),120.6
78,Eurynome (A863 RA),63.479
79,Sappho (A864 JA),68.563
80,Terpsichore (A864 SA),117.727
81,Alkmene (A864 WA),57.621
82,Beatrix (A865 HA),110.503
83,Klio (A865 QA),79.16
84,Io (A865 SA),154.79
85,Semele (A866 AA),109.929
86,Sylvia (A866 KA),253.051
87,Thisbe (A866 LA),232.0
88,Julia (A866 PA),145.483
89,Antiope (A866 TA),115.974
90,Aegina (A866 VA),103.402
91,Undina (A867 NA),126.42
92,Minerva (A867 QA),154.155
93,Aurora (A867 RA),204.89
94,Arethusa (A867 WA),147.969
95,Aegle (A868 DA),177.774
96,Klotho (A868 DB),100.717
97,Ianthe (A868 HA),132.788
98,Dike (A868 KA),67.354
99,Hekate (A868 NA),85.734
100,Helena (A868 PA),65.84
101,Miriam (A868 QA),82.595
102,Hera (A868 RA),83.908
103,Klymene (A868 RB),136.553
104,Artemis (A868 SA),94.864
105,Dione (A868 TA),207.869
106,Camilla (A868 WA),210.37
107,Hecuba (A869 GB),75.498
108,Felicitas (A869 TA),82.588
109,Lydia (A870 HA),86.09
110,Ate (A870 PA),126.344
111,Iphigenia (A870 SA),69.818
112,Amalthea (A871 EA),50.137
113,Kassandra (A871 OA),94.178
114,Thyra (A871 PA),79.83
115,Sirona (A871 RA),71.7
116,Lomia (A871 RB),208.974
117,Peitho (A872 EA),40.211
118,Althaea (A872 GA),57.3
119,Lachesis (A872 GB),155.132
120,Hermione (A872 JA),209.0
121,Gerda (A872 OA),70.676
122,Brunhild (A872 OB),45.209
123,Alkeste (A872 QA),88.648
124,Liberatrix (A872 RA),48.418
125,Velleda (A872 VA),44.82
126,Johanna (A872 VB),122.0
127,Nemesis (A872 WA),162.515
128,Antigone (A873 CA),113.0
129,Elektra (A873 DA),180.652
130,Vala (A873 KA),31.337
131,Aethra (A873 LA),42.87
132,Cyrene (A873 QA),72.175
133,Sophrosyne (A873 SA),108.0
134,Hertha (A874 DA),79.24
135,Austria (A874 FA),36.893
136,Meliboea (A874 HA),128.678
137,Tolosa (A874 KA),52.905
138,Juewa (A874 TA),151.116
139,Siwa (A874 TB),109.79
140,Lumen (A875 AA),117.916
141,Polana (A875 BA),54.812
142,Adria (A875 DA),95.377
143,Vibilia (A875 LA),142.38
144,Adeona (A875 LB),127.783
145,Lucina (A875 LC),160.31
146,Protogeneia (A875 NA),132.93
147,Gallia (A875 PA),97.75
148,Medusa (A875 SA),23.719
149,Nuwa (A875 UA),119.128
150,Abundantia (A875 VA),39.037
151,Atala (A875 VB),58.964
152,Hilda (A875 VC),170.63
153,Bertha (A875 VD),192.611
154,Scylla (A875 VE),39.605
155,Xanthippe (A875 WA),143.346
156,Dejanira (A875 XA),19.959
157,Koronis (A876 AA),39.025
158,Aemilia (A876 BA),125.236
159,Una (A876 DA),81.24
160,Athor (A876 HA),40.992
161,Laurentia (A876 HB),97.021
162,Erigone (A876 HC),81.579
163,Eva (A876 NA),100.254
164,Loreley (A876 PA),180.083
165,Rhodope (A876 PB),52.393
166,Urda (A876 QA),39.935
167,Sibylla (A876 SA),145.366
168,Zelia (A876 SB),37.517
169,Maria (A877 AA),33.136
170,Ophelia (A877 AB),130.808
171,Baucis (A877 CA),62.43
172,Ino (A877 PA),125.821
173,Phaedra (A877 RA),64.849
174,Andromache (A877 TA),94.532
175,Iduna (A877 TB),106.976
176,Irma (A877 VA),69.049
177,Belisana (A877 VB),35.81
178,Klytaemnestra (A877 VC),69.946
179,Garumna (A878 BA),23.44
180,Eucharis (A878 CB),115.383
181,Elsa (A878 CC),39.52
182,Istria (A878 CD),32.927
183,Dejopeja (A878 DA),62.483
184,Eunike (A878 EA),160.464
185,Celuta (A878 GA),49.99
186,Lamberta (A878 GB),147.294
187,Menippe (A878 MA),35.752
188,Phthia (A878 RA),38.49
189,Ismene (A878 SA),159.0
190,Kolga (A878 SB),94.536
191,Nausikaa (A879 DA),98.776
192,Ambrosia (A879 DB),26.302
193,Prokne (A879 FA),161.667
194,Eurykleia (A879 HA),93.109
195,Philomela (A879 JA),144.626
196,Arete (A879 KA),31.729
197,Ampella (A879 LA),54.323
198,Byblis (A879 NA),76.129
199,Dynamene (A879 OA),128.301
200,Penelope (A879 PA),85.877
201,Chryseis (A879 RA),86.15
202,Pompeja (A879 SA),124.592
203,Kallisto (A879 TA),48.566
204,Martha (A879 TB),76.983
205,Hersilia (A879 TC),113.0
206,Hedda (A879 UA),57.88
207,Lacrimosa (A879 UB),40.056
208,Dido (A879 UC),179.008
209,Isabella (A879 VA),86.65
210,Isolda (A879 XA),141.125
211,Medea (A880 CA),136.12
212,Lilaea (A880 DA),82.096
213,Aschera (A880 DB),24.957
214,Oenone (A880 GA),35.21
215,Kleopatra (A880 GB),122.0
216,Eudora (A880 QA),65.392
217,Bianca (A880 RA),60.62
218,Thusnelda (A880 SA),37.674
219,Stephania (A881 KA),31.738
220,Eos (A882 BA),95.469
221,Lucia (A882 CA),55.35
222,Rosa (A882 EA),79.806
223,Oceana (A882 FA),58.236
224,Henrietta (A882 HA),95.934
225,Weringia (A882 OA),31.494
226,Philosophia (A882 PA),123.891
227,Agathe (A882 QA),9.3
228,Adelinda (A882 QB),105.912
229,Athamantis (A882 RA),111.332
230,Vindobona (A882 RB),73.545
231,Russia (A883 BA),54.73
232,Asterope (A883 JA),99.672
233,Barbara (A883 PA),45.476
234,Carolina (A883 WA),57.517
235,Honoria (A884 HA),77.708
236,Coelestina (A884 MA),41.08
237,Hypatia (A884 NA),155.659
238,Adrastea (A884 QA),37.609
239,Vanadis (A884 QB),87.928
240,Germania (A884 RA),168.9
241,Kriemhild (A884 SA),40.802
242,Ida (A884 SB),32.0
243,Sita (A884 TA),11.077
244,Vera (A885 CA),75.949
245,Asporina (A885 EA),50.891
246,Eukrate (A885 EB),130.935
247,Lameia (A885 LA),50.12
248,Ilse (A885 QA),34.83
249,Bettina (A885 RA),120.995
250,Sophia (A885 TA),27.495
251,Clementina (A885 TB),65.344
252,Mathilde (A885 VA),52.8
253,Augusta (A886 FA),12.467
254,Oppavia (A886 FB),56.939
255,Walpurga (A886 GA),66.634
256,Silesia (A886 GB),72.66
257,Tyche (A886 JA),64.78
258,Aletheia (A886 MA),174.318
259,Huberta (A886 TA),101.539
260,Prymno (A886 UA),50.011
261,Valda (A886 VA),14.645
262,Dresda (A886 VB),23.952
263,Libussa (A886 YA),62.969
264,Anna (A887 DA),22.767
265,Aline (A887 KA),109.494
266,Tirza (A887 KB),55.998
267,Adorea (A887 LA),144.585
268,Justitia (A887 SA),50.728
269,Anahita (A887 TA),51.4
270,Penthesilea (A887 TB),65.901
271,Antonia (A888 CA),26.87
272,Atropos (A888 EA),29.768
273,Philagoria (A888 GA),27.307
274,Sapientia (A888 GB),103.0
275,Adelheid (A888 HA),114.723
276,Elvira (A888 JA),30.422
277,Paulina (A888 KA),32.773
278,Thule (A888 UA),126.59
279,Philia (A888 UB),45.69
280,Lucretia (A888 UC),11.036
281,Clorinde (A889 BA),39.03
282,Emma (A889 CA),132.385
283,Amalia (A889 KA),52.95
284,Regina (A889 PA),47.156
285,Iclea (A889 PB),94.3
286,Nephthys (A889 QA),59.615
287,Glauke (A890 DA),28.981
288,Nenetta (A890 EA),37.586
289,Bruna (A890 FA),9.822
290,Alice (A890 HA),10.456
291,Ludovica (A890 HB),30.864
292,Brasilia (A890 KA),57.486
293,Felicia (A890 NA),51.865
294,Theresia (A890 QA),28.34
295,Phaetusa (A890 QB),8.196
296,Caecilia (A890 RA),39.48
297,Baptistina (A890 RB),21.135
298,Thora (A890 TA),15.757
299,Geraldina (A890 TB),67.373
300,Bavaria (A890 WA),53.042
301,Clarissa (A890 VA),38.53
302,Josephina (A891 CA),124.923
303,Olga (A891 CB),65.99
304,Gordonia (A891 DA),47.739
305,Unitas (A891 EA),47.2
306,Nike (A891 EB),61.313
307,Polyxo (A891 FA),128.578
308,Fraternitas (A891 GA),41.075
309,Margarita (A891 KA),33.708
